"Date","Hour","Active followers"
"November 17","0","26"
"November 17","1","24"
"November 17","2","19"
"November 17","3","18"
"November 17","4","17"
"November 17","5","16"
"November 17","6","18"
"November 17","7","27"
"November 17","8","27"
"November 17","9","31"
"November 17","10","30"
"November 17","11","39"
"November 17","12","28"
"November 17","13","27"
"November 17","14","27"
"November 17","15","38"
"November 17","16","35"
"November 17","17","45"
"November 17","18","45"
"November 17","19","44"
"November 17","20","42"
"November 17","21","45"
"November 17","22","33"
"November 17","23","30"
"November 18","0","29"
"November 18","1","26"
"November 18","2","16"
"November 18","3","14"
"November 18","4","15"
"November 18","5","16"
"November 18","6","23"
"November 18","7","29"
"November 18","8","27"
"November 18","9","26"
"November 18","10","27"
"November 18","11","29"
"November 18","12","41"
"November 18","13","38"
"November 18","14","30"
"November 18","15","38"
"November 18","16","46"
"November 18","17","46"
"November 18","18","45"
"November 18","19","46"
"November 18","20","48"
"November 18","21","48"
"November 18","22","48"
"November 18","23","49"
"November 19","0","33"
"November 19","1","24"
"November 19","2","19"
"November 19","3","16"
"November 19","4","16"
"November 19","5","18"
"November 19","6","26"
"November 19","7","24"
"November 19","8","21"
"November 19","9","31"
"November 19","10","28"
"November 19","11","34"
"November 19","12","33"
"November 19","13","39"
"November 19","14","42"
"November 19","15","37"
"November 19","16","45"
"November 19","17","45"
"November 19","18","48"
"November 19","19","48"
"November 19","20","46"
"November 19","21","51"
"November 19","22","46"
"November 19","23","37"
"November 20","0","30"
"November 20","1","26"
"November 20","2","16"
"November 20","3","16"
"November 20","4","16"
"November 20","5","18"
"November 20","6","24"
"November 20","7","24"
"November 20","8","30"
"November 20","9","28"
"November 20","10","26"
"November 20","11","31"
"November 20","12","35"
"November 20","13","39"
"November 20","14","36"
"November 20","15","40"
"November 20","16","45"
"November 20","17","35"
"November 20","18","37"
"November 20","19","49"
"November 20","20","43"
"November 20","21","39"
"November 20","22","44"
"November 20","23","32"
"November 21","0","24"
"November 21","1","21"
"November 21","2","20"
"November 21","3","19"
"November 21","4","15"
"November 21","5","22"
"November 21","6","21"
"November 21","7","26"
"November 21","8","27"
"November 21","9","37"
"November 21","10","32"
"November 21","11","32"
"November 21","12","29"
"November 21","13","39"
"November 21","14","38"
"November 21","15","41"
"November 21","16","46"
"November 21","17","46"
"November 21","18","45"
"November 21","19","43"
"November 21","20","49"
"November 21","21","42"
"November 21","22","29"
"November 21","23","29"
"November 22","0","32"
"November 22","1","27"
"November 22","2","27"
"November 22","3","22"
"November 22","4","16"
"November 22","5","10"
"November 22","6","18"
"November 22","7","20"
"November 22","8","26"
"November 22","9","28"
"November 22","10","39"
"November 22","11","43"
"November 22","12","42"
"November 22","13","41"
"November 22","14","45"
"November 22","15","46"
"November 22","16","39"
"November 22","17","34"
"November 22","18","0"
"November 22","19","0"
"November 22","20","0"
"November 22","21","0"
"November 22","22","0"
"November 22","23","0"